id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,999,853,963,999,991
2,995,855,960,995,996
3,992,859,968,993,995
4,996,857,966,992,993
5,999,862,961,999,996
6,992,867,966,992,993
7,999,857,963,998,993
8,996,850,966,996,983
9,999,848,963,998,972
10,995,852,961,990,965
11,999,848,963,999,968
12,995,1002,964,997,970
13,999,870,965,999,986
14,997,877,964,995,986
15,994,821,967,990,993
16,1000,820,967,996,985
17,999,812,963,999,994
18,993,807,965,995,987
19,997,809,965,998,994
20,994,800,967,993,995
21,999,801,963,999,992
22,993,803,965,994,997
23,992,801,966,992,991
24,997,804,964,995,995
25,999,808,961,999,996
26,998,806,967,998,989
27,997,808,962,997,993
28,998,809,967,996,992
29,1000,808,967,1000,992
30,997,806,961,999,994
31,994,807,967,993,992
32,999,821,965,998,988
33,999,829,962,999,992
34,993,842,964,995,991
35,1000,854,965,1000,985
36,995,863,962,995,991
37,999,890,963,999,996
38,998,901,964,999,988
39,1002,904,965,998,984
40,996,914,966,995,981
41,993,909,964,993,983
42,996,893,967,992,985
43,999,904,961,999,980
44,993,894,962,995,990
45,992,883,965,994,990
46,996,865,967,996,985
47,998,854,963,999,984
48,995,859,964,997,986
49,996,864,966,994,989
50,999,868,963,1000,985
51,995,862,960,999,991
52,992,835,966,993,994
53,992,823,966,993,994
54,991,807,967,990,991
55,992,803,964,992,993
56,998,791,963,999,988
57,995,791,961,998,994
58,995,794,960,999,991
59,991,793,967,990,991
60,993,794,966,992,991
61,998,799,964,996,989
62,995,796,962,997,991
63,992,798,966,994,990
64,990,795,967,990,991
65,998,794,966,996,987
66,999,798,963,998,989
67,993,803,960,999,991
68,995,804,959,999,991
69,999,806,961,999,988
70,999,808,961,999,990
71,997,822,962,998,994
72,995,834,962,995,994
73,999,868,960,999,996
74,995,876,960,995,996
75,993,878,964,993,998
76,993,887,968,993,990
77,999,880,967,997,993
78,998,875,966,996,993
79,994,857,966,993,997
80,993,863,966,993,987
81,995,861,962,995,980
82,997,863,964,995,987
83,996,859,964,995,996
84,995,862,964,995,994
85,995,861,966,992,995
86,993,859,966,993,983
87,998,854,967,996,987
88,999,857,967,998,992
89,999,862,961,999,988
90,999,858,961,999,984
91,997,860,960,999,990
92,999,850,963,999,988
93,993,851,966,992,991
94,999,852,963,999,993
95,993,855,964,992,989
96,996,855,964,997,935
97,992,855,966,993,935
98,1000,852,967,1000,873
99,999,858,963,1000,925
100,998,853,966,996,875
